Uhrzeit;Schritte;Aktivitätstyp;Intensität;Präzise Intensität
08.05.2016 22:24;38;Gehen;;
08.05.2016 22:24;;7;40;135
08.05.2016 22:24;;7;0;7
08.05.2016 22:31;;7;20;71
08.05.2016 22:34;;7;40;135
08.05.2016 22:39;;7;0;7
08.05.2016 22:49;;7;0;7
08.05.2016 22:59;16;Gehen;20;70
08.05.2016 23:00;;7;40;135
08.05.2016 23:01;;7;0;7
08.05.2016 23:10;;7;0;7
08.05.2016 23:38;;7;20;71
08.05.2016 23:39;46;Gehen;30;102
08.05.2016 23:41;;7;50;167
08.05.2016 23:42;;7;0;7
08.05.2016 23:50;;7;0;7
10.05.2016 18:30;300;Gehen;30;102
10.05.2016 18:30;300;Gehen;30;200
10.05.2016 18:30;300;Gehen;30;102
10.05.2016 18:30;300;Gehen;30;102
10.05.2016 18:30;300;Gehen;30;200
10.05.2016 18:30;300;Gehen;30;200
