Uhrzeit;Schritte;Aktivitätstyp;Intensität;Präzise Intensität
06.11.2015 23:00;;Ruhen;0;8
07.11.2015 07:00;;Ruhen;0;8
07.11.2015 07:15;;Ruhen;0;8
07.11.2015 07:30;;Ruhen;0;8
07.11.2015 07:45;;Ruhen;0;8
07.11.2015 08:00;;Ruhen;0;8
07.11.2015 20:00;;Ruhen;0;8
07.11.2015 20:04;;Ruhen;0;8
07.11.2015 23:00;;Ruhen;0;8
08.11.2015 07:00;;Ruhen;0;8
08.11.2015 07:15;;Ruhen;0;8
08.11.2015 07:30;;Ruhen;0;8
08.11.2015 07:45;;Ruhen;0;8
08.11.2015 08:00;;Ruhen;0;8
08.11.2015 20:00;;Ruhen;0;8
08.11.2015 23:00;;Ruhen;0;8
09.11.2015 07:00;;Ruhen;0;8
09.11.2015 07:15;;Ruhen;0;8
09.11.2015 07:30;;Ruhen;0;8
09.11.2015 07:45;;Ruhen;0;8
09.11.2015 08:00;;Ruhen;0;8
09.11.2015 18:29;32;Gehen;20;70
09.11.2015 18:30;40;Gehen;30;102
09.11.2015 18:31;;Ruhen;60;200
09.11.2015 18:32;;Ruhen;0;8
09.11.2015 18:35;11;Gehen;30;102
09.11.2015 18:36;;Ruhen;30;104
09.11.2015 18:38;;Ruhen;0;8
09.11.2015 18:47;;Ruhen;0;8
09.11.2015 19:02;;Ruhen;10;40
09.11.2015 19:03;;Ruhen;0;8
09.11.2015 19:12;;Ruhen;0;8
09.11.2015 19:20;;Ruhen;30;104
09.11.2015 19:23;13;Gehen;20;70
09.11.2015 19:24;;Ruhen;30;104
09.11.2015 19:26;9;Gehen;0;6
09.11.2015 19:27;;Ruhen;30;104
09.11.2015 19:31;6;Gehen;10;38
09.11.2015 19:32;;Ruhen;30;104
09.11.2015 19:36;7;Gehen;10;38
09.11.2015 19:37;;Ruhen;30;104
09.11.2015 19:41;;Ruhen;0;8
09.11.2015 19:47;;Ruhen;20;72
09.11.2015 19:48;;Ruhen;0;8
09.11.2015 19:50;;Ruhen;30;104
09.11.2015 19:51;;Ruhen;0;8
09.11.2015 19:52;199;Gehen;30;102
09.11.2015 19:54;361;Gehen;20;70
09.11.2015 19:58;;Ruhen;70;232
09.11.2015 20:00;;Ruhen;0;8
09.11.2015 20:10;;Ruhen;0;8
09.11.2015 23:00;0;Gehen;;
09.11.2015 23:00;;Ruhen;0;8
10.11.2015 07:00;;Ruhen;0;8
10.11.2015 07:15;;Ruhen;0;8
10.11.2015 07:30;;Ruhen;0;8
10.11.2015 07:45;;Ruhen;0;8
10.11.2015 08:00;;Ruhen;0;8
10.11.2015 08:39;;Ruhen;20;72
10.11.2015 08:40;;Ruhen;0;8
10.11.2015 08:50;;Ruhen;0;8
10.11.2015 13:36;;Ruhen;20;72
10.11.2015 13:37;;Ruhen;0;8
10.11.2015 13:46;;Ruhen;0;8
10.11.2015 20:00;;Ruhen;0;8
10.11.2015 23:00;;Ruhen;0;8
11.11.2015 07:00;;Ruhen;0;8
11.11.2015 07:15;;Ruhen;0;8
11.11.2015 07:30;;Ruhen;0;8
11.11.2015 07:45;;Ruhen;0;8
11.11.2015 08:00;;Ruhen;0;8
11.11.2015 15:50;;Ruhen;0;8
11.11.2015 20:00;;Ruhen;0;8
11.11.2015 23:00;;Ruhen;0;8
12.11.2015 07:00;;Ruhen;0;8
12.11.2015 07:15;;Ruhen;0;8
12.11.2015 07:30;;Ruhen;0;8
12.11.2015 07:45;;Ruhen;0;8
12.11.2015 08:00;;Ruhen;0;8
12.11.2015 12:42;;Ruhen;0;8
12.11.2015 20:00;;Ruhen;0;8
12.11.2015 23:00;;Ruhen;0;8
13.11.2015 07:00;;Ruhen;0;8
13.11.2015 07:15;;Ruhen;0;8
13.11.2015 07:30;;Ruhen;0;8
13.11.2015 07:45;;Ruhen;0;8
13.11.2015 08:00;;Ruhen;0;8
13.11.2015 20:00;;Ruhen;0;8
13.11.2015 23:00;;Ruhen;0;8
14.11.2015 07:00;;Ruhen;0;8
14.11.2015 07:15;;Ruhen;0;8
14.11.2015 07:30;;Ruhen;0;8
14.11.2015 07:45;;Ruhen;0;8
14.11.2015 08:00;;Ruhen;0;8
14.11.2015 20:00;;Ruhen;0;8
14.11.2015 23:00;;Ruhen;0;8
15.11.2015 07:00;;Ruhen;0;8
15.11.2015 07:15;;Ruhen;0;8
15.11.2015 07:30;;Ruhen;0;8
15.11.2015 07:45;;Ruhen;0;8
15.11.2015 08:00;;Ruhen;0;8
15.11.2015 20:00;;Ruhen;0;8
15.11.2015 23:00;;Ruhen;0;8
16.11.2015 07:00;;Ruhen;0;8
16.11.2015 07:15;;Ruhen;0;8
16.11.2015 07:30;;Ruhen;0;8
16.11.2015 07:45;;Ruhen;0;8
16.11.2015 08:00;;Ruhen;0;8
16.11.2015 15:28;;Ruhen;30;104
16.11.2015 15:29;;Ruhen;0;8
